Date,Temperature(C),Humidity(%),Rainfall(mm),Wind_speed(km/h)
2024-07-06,24.6,54,0.7,12.5
2024-07-07,20.8,66,0.7,26.0
2024-07-08,17.4,90,1.0,24.3
2024-07-09,22.8,73,1.1,10.8
2024-07-10,29.3,91,3.2,8.3
2024-07-11,26.1,96,0.9,26.7
2024-07-12,18.8,77,1.3,29.1
2024-07-13,25.9,72,2.0,5.8
2024-07-14,26.9,63,0.9,23.3
2024-07-15,20.6,54,3.6,27.7
2024-07-16,25.8,99,1.8,26.4
2024-07-17,25.3,69,0.7,29.1
2024-07-18,19.3,94,2.5,24.0
2024-07-19,26.8,81,1.5,16.1
2024-07-20,27.8,90,1.5,12.8
2024-07-21,30.4,56,1.3,13.0
2024-07-22,30.3,44,1.4,23.1
2024-07-23,18.1,68,2.9,23.6
2024-07-24,20.3,43,0.2,10.0
2024-07-25,27.6,49,0.8,26.7
2024-07-26,27.6,95,0.2,22.9
2024-07-27,27.6,56,2.8,19.1
2024-07-28,44.3,49,0.6,16.8
2024-07-29,27.9,56,4.6,18.6
2024-07-30,30.7,99,1.5,9.0
2024-07-31,29.8,59,3.2,10.1
2024-08-01,28.3,63,7.7,7.3
2024-08-02,23.4,44,3.7,8.8
2024-08-03,28.8,73,4.0,16.3
2024-08-04,21.1,45,1.0,18.3
2024-08-05,23.8,92,1.6,5.4
2024-08-06,22.6,41,0.6,24.9
2024-08-07,25.4,52,0.4,12.4
2024-08-08,36.6,82,1.4,27.8
2024-08-09,15.7,82,1.8,29.2
2024-08-10,28.4,87,0.8,9.6
2024-08-11,16.9,50,1.7,16.6
2024-08-12,22.6,90,4.4,5.0
2024-08-13,30.4,86,1.6,20.0
2024-08-14,25.3,96,2.6,20.2
2024-08-15,19.6,62,3.3,11.2
2024-08-16,21.4,94,9.0,19.0
2024-08-17,28.4,55,1.8,10.6
2024-08-18,21.3,70,3.3,9.0
2024-08-19,26.1,50,6.6,21.3
2024-08-20,25.2,93,5.8,13.1
2024-08-21,21.7,55,0.3,19.8
2024-08-22,35.7,47,1.0,15.8
2024-08-23,28.2,43,0.8,29.6
2024-08-24,14.9,79,0.2,8.7
2024-08-25,25.9,43,2.0,16.6
2024-08-26,21.7,95,2.7,22.0
2024-08-27,29.3,64,3.8,14.9
2024-08-28,21.0,42,0.3,29.4
2024-08-29,24.4,71,4.2,23.0
2024-08-30,27.5,42,2.1,21.4
2024-08-31,29.3,66,2.4,23.9
2024-09-01,19.0,68,4.8,28.8
2024-09-02,23.3,71,2.0,27.7
2024-09-03,22.6,89,0.8,23.1
2024-09-04,21.7,97,3.5,23.7
2024-09-05,33.8,90,0.9,8.6
2024-09-06,27.0,58,0.1,7.6
2024-09-07,18.7,60,3.6,19.3
2024-09-08,29.6,44,0.8,5.5
2024-09-09,35.6,57,3.0,17.1
2024-09-10,30.2,67,0.9,10.3
2024-09-11,17.4,81,3.9,13.7
2024-09-12,22.6,61,0.5,24.4
2024-09-13,31.3,60,7.3,28.5
2024-09-14,21.5,45,3.0,6.8
2024-09-15,27.2,40,0.2,18.4
2024-09-16,28.9,44,1.7,27.1
2024-09-17,20.4,80,8.4,7.1
2024-09-18,24.7,51,1.3,25.6
2024-09-19,8.8,65,0.4,13.9
2024-09-20,19.9,85,1.3,13.1
2024-09-21,23.7,73,1.4,29.4
2024-09-22,18.8,88,2.7,10.0
2024-09-23,33.2,53,2.4,22.3
2024-09-24,17.8,65,1.0,25.5
2024-09-25,22.8,84,0.5,6.0
2024-09-26,25.7,66,2.1,21.8
2024-09-27,32.2,48,1.1,28.8
2024-09-28,17.8,65,0.3,8.1
2024-09-29,30.8,96,4.6,27.4
2024-09-30,25.1,86,2.4,19.9
2024-10-01,20.1,96,2.3,20.4
2024-10-02,27.3,61,3.5,20.3
2024-10-03,26.0,86,1.5,12.5
2024-10-04,22.0,95,3.4,28.4
2024-10-05,25.3,69,1.4,28.7
2024-10-06,23.1,82,0.1,20.6
2024-10-07,25.6,87,1.0,24.6
2024-10-08,28.3,56,1.4,20.3
2024-10-09,32.9,65,2.5,17.1
2024-10-10,18.8,75,0.2,21.5
2024-10-11,35.7,40,0.3,18.8
2024-10-12,15.2,47,0.6,19.9
2024-10-13,24.2,88,0.6,24.6
2024-10-14,27.9,74,2.6,17.0
2024-10-15,26.4,91,0.6,6.0
2024-10-16,21.9,54,2.0,9.1
2024-10-17,24.0,86,1.4,16.0
2024-10-18,22.5,95,1.7,23.1
2024-10-19,22.1,61,3.6,19.8
2024-10-20,29.2,53,1.0,21.3
2024-10-21,26.8,65,2.9,17.0
2024-10-22,21.5,67,1.1,20.4
2024-10-23,29.5,62,0.9,13.2
2024-10-24,26.5,53,6.4,16.8
2024-10-25,29.1,63,0.4,23.6
2024-10-26,28.1,41,0.2,26.8
2024-10-27,20.9,84,2.9,15.8
2024-10-28,22.2,65,0.1,6.1
2024-10-29,28.7,53,3.6,9.0
2024-10-30,28.1,98,1.1,5.5
2024-10-31,24.9,95,4.9,21.3
2024-11-01,25.6,90,2.6,13.3
2024-11-02,31.4,46,1.9,18.6
2024-11-03,22.0,42,6.0,17.3
2024-11-04,27.7,86,1.0,7.0
2024-11-05,24.0,62,6.2,15.1
2024-11-06,23.9,85,0.3,10.5
2024-11-07,30.5,82,1.3,15.5
2024-11-08,29.1,86,0.6,10.1
2024-11-09,29.1,99,1.6,26.0
2024-11-10,31.5,84,0.4,9.4
2024-11-11,25.1,57,3.7,29.0
2024-11-12,28.4,97,3.7,15.4
2024-11-13,23.4,77,6.2,26.2
2024-11-14,26.6,74,0.3,20.7
2024-11-15,24.3,90,2.0,23.4
2024-11-16,25.5,54,1.3,24.2
2024-11-17,28.0,64,0.8,17.6
2024-11-18,20.9,94,0.9,18.6
2024-11-19,35.5,76,1.1,17.8
2024-11-20,20.0,67,2.4,19.7
2024-11-21,18.9,49,1.8,5.7
2024-11-22,30.8,78,1.2,14.9
2024-11-23,29.0,96,0.2,20.2
2024-11-24,28.1,56,0.2,19.9
2024-11-25,28.1,78,0.0,24.8
2024-11-26,24.9,61,6.9,21.4
2024-11-27,20.5,65,0.0,29.8
2024-11-28,25.4,83,0.2,12.1
2024-11-29,21.6,64,0.8,14.0
2024-11-30,29.9,56,3.3,14.6
2024-12-01,24.3,52,6.5,16.6
2024-12-02,20.9,59,3.1,25.9
2024-12-03,23.4,64,2.3,10.9
2024-12-04,27.1,43,1.5,24.4
2024-12-05,22.2,49,0.2,15.1
2024-12-06,20.9,42,6.3,20.0
2024-12-07,26.2,80,2.8,20.8
2024-12-08,26.2,84,2.0,14.3
2024-12-09,22.5,57,2.8,17.8
2024-12-10,22.6,86,2.6,15.3
2024-12-11,26.2,75,2.0,6.7
2024-12-12,17.8,86,7.9,15.9
2024-12-13,18.0,61,4.7,7.4
2024-12-14,21.4,73,2.1,15.1
2024-12-15,23.9,86,2.4,19.8
2024-12-16,26.6,47,0.1,19.5
2024-12-17,32.4,79,2.2,21.6
2024-12-18,29.3,88,0.1,7.4
2024-12-19,24.2,83,1.8,21.3
2024-12-20,24.9,58,14.7,12.8
2024-12-21,20.0,81,1.6,15.0
2024-12-22,24.9,80,1.3,26.4
2024-12-23,23.6,76,0.8,5.2
2024-12-24,26.6,45,0.3,19.7
2024-12-25,20.9,91,2.6,20.0
2024-12-26,27.6,65,0.4,14.9
2024-12-27,32.7,73,0.2,10.9
2024-12-28,24.5,98,1.1,10.9
2024-12-29,27.0,95,3.2,27.1
2024-12-30,28.5,98,2.7,16.1
2024-12-31,23.0,84,0.1,13.3
